									landmark	id	x	y	id	x	y
25.8	4.111791	-3.66772	-0.048211	28486	28550	3.323763	-5.367763	-0.413062	2	7	2.865713	9.820523	8	-0.312042	2.938715
26	4.213223	-3.672614	-0.069248	28805	28893	3.415674	-5.407786	-0.408362	2	7	2.944651	9.751647	8	-0.61633	3.266851
26.4	4.409719	-3.683352	-0.040322	29463	29518	3.599992	-5.486687	-0.400887	1	8	-0.711073	3.022887			
26.6	4.513792	-3.68755	-0.062236	29790	29870	3.692351	-5.525668	-0.39789	1	8	-1.178264	2.788336			
27	4.712643	-3.702352	-0.060483	30441	30519	3.877382	-5.602884	-0.392957	1	8	-0.936372	2.879875			
27.2	4.808341	-3.708148	-0.031556	30770	30815	3.970029	-5.641175	-0.390892	1	8	-0.874283	2.56045			
27.4	4.900028	-3.711042	0.024544	31101	31082	4.062752	-5.679284	-0.389025	1	8	-0.914012	2.292036			
27.6	5.008448	-3.70838	-0.006136	31437	31453	4.155543	-5.717227	-0.387312	1	8	-0.791407	2.330697			
27.8	5.108461	-3.708994	-0.009642	31761	31781	4.248396	-5.755017	-0.385717	1	8	-0.635095	2.5606			
28	5.210466	-3.709978	-0.010519	32093	32114	4.341308	-5.792662	-0.384204	1	8	-0.918352	2.52257			
28.2	5.31293	-3.711055	-0.012272	32426	32449	4.434276	-5.830169	-0.382742	1	8	-1.419227	2.023984			
28.4	5.408797	-3.712232	0.020161	32757	32743	4.527298	-5.867542	-0.3813	1	8	-1.293187	2.451474			
28.6	5.510019	-3.710191	0.009642	33081	33079	4.620374	-5.904779	-0.379845	1	8	-1.033005	2.409822			
28.8	5.610644	-3.709221	0.004383	33406	33410	4.713505	-5.941879	-0.37834	1	8	-1.45358	2.100518			
29	5.714186	-3.708767	-0.015778	33732	33759	4.806693	-5.978835	-0.376739	1	8	-1.174643	1.864852			
29.2	5.810508	-3.710287	0.014025	34063	34056	4.899944	-6.015633	-0.374981	1	8	-1.765729	2.288995			
29.4	5.908827	-3.708908	0.028926	34392	34368	4.992838	-6.05209	-0.372966	1	8	-1.303511	2.031144			
29.6	6.010641	-3.705962	0.027173	34723	34701	5.086317	-6.088224	-0.361421	1	8	-1.475564	1.915811			
29.8	6.112459	-3.703194	0.046458	35066	35022	5.180458	-6.12265	-0.339766	1	8	-1.488335	2.529859			
30	6.208689	-3.698721	0.092039	35406	35310	5.275277	-6.155168	-0.321354	1	8	-1.500778	2.251304			
30.2	6.310726	-3.689303	0.095545	35742	35642	5.370629	-6.186092	-0.306145	1	8	-1.885899	2.028019			
30.4	6.410132	-3.679776	0.110447	36076	35959	5.466403	-6.215692	-0.29355	1	8	-1.494073	2.038495			
30.6	6.51396	-3.668262	0.099051	36410	36306	5.562511	-6.244188	-0.283089	1	8	-1.584671	1.697866			
30.8	6.607227	-3.658993	0.14025	36739	36588	5.658889	-6.271763	-0.274358	1	8	-1.299212	1.892957			
